Name,Country,Gender,Weight
Jacob,UK,M,
Mohammed,UK,M,
Kyle,UK,M,
Charile,UK,M,
Jonathan,UK,M,
Ashley,UK,M,
Reece,UK,M,
Cameron,UK,M,
Alexander,UK,M,
Charles,UK,M,
Edward,UK,M,
John,UK,M,
Samuel,UK,M,
Scott,UK,M,
Sean,UK,M,
Joe,UK,M,
Sophie,UK,F,
Chloe,UK,F,
Jessica,UK,F,
Emily,UK,F,
Lauren,UK,F,
Hannah,UK,F,
Charlotte,UK,F,
Rebecca,UK,F,
Amy,UK,F,
Megan,UK,F,
Shannon,UK,F,
Katie,UK,F,
Bethany,UK,F,
Emma,UK,F,
Lucy,UK,F,
Georgia,UK,F,
Laura,UK,F,
Sarah,UK,F,
Jade,UK,F,
Danielle,UK,F,
Abigail,UK,F,
Eleanor,UK,F,
Holly,UK,F,
Olivia,UK,F,
Alice,UK,F,
Elizabeth,UK,F,
Rachel,UK,F,
Paige,UK,F,
Molly,UK,F,
Ellie,UK,F,
Zoe,UK,F,
Samantha,UK,F,
Natasha,UK,F,
Chelsea,UK,F,
Leah,UK,F,
Nicole,UK,F,
Victoria,UK,F,
Alexandra,UK,F,
Georgina,UK,F,
Amber,UK,F,
Grace,UK,F,
Natalie,UK,F,
Jodie,UK,F,
Louise,UK,F,
Abbie,UK,F,
Melissa,UK,F,
Anna,UK,F,
Katherine,UK,F,
Stephanie,UK,F,
Gemma,UK,F,
Michael,CA,M,
David,CA,M,
Robert,CA,M,
Jason,CA,M,
James,CA,M,
Christopher,CA,M,
John,CA,M,
Richard,CA,M,
Kevin,CA,M,
Mark,CA,M,
Steven,CA,M,
Scott,CA,M,
William,CA,M,
Brian,CA,M,
Paul,CA,M,
Darren,CA,M,
Daniel,CA,M,
Kenneth,CA,M,
Sean,CA,M,
Andrew,CA,M,
Gregory,CA,M,
Jeffrey,CA,M,
Stephen,CA,M,
Dean,CA,M,
Peter,CA,M,
Bradley,CA,M,
Thomas,CA,M,
Trevor,CA,M,
Shawn,CA,M,
Douglas,CA,M,
Derek,CA,M,
Shane,CA,M,
Ronald,CA,M,
Todd,CA,M,
Craig,CA,M,
Donald,CA,M,
Gord,CA,M,
Anthony,CA,M,
Joseph,CA,M,
Troy,CA,M,
Edward,CA,M,
Brent,CA,M,
Patrick,CA,M,
Timothy,CA,M,
Aaron,CA,M,
Colin,CA,M,
Ian,CA,M,
Wayne,CA,M,
Dennis,CA,M,
Matthew,CA,M,
Lisa,CA,F,
Michelle,CA,F,
Jennifer,CA,F,
Tracy,CA,F,
Karen,CA,F,
Tammy,CA,F,
Nicole,CA,F,
Shannon,CA,F,
Susan,CA,F,
Christine,CA,F,
Angela,CA,F,
Sandra,CA,F,
Laura,CA,F,
Tanya,CA,F,
Heather,CA,F,
Kimberly,CA,F,
Julie,CA,F,
Patricia,CA,F,
Kelly,CA,F,
Lion,CA,F,
Cheryl,CA,F,
Andrea,CA,F,
Brenda,CA,F,
Tracey,CA,F,
Barbara,CA,F,
Teresa,CA,F,
Linda,CA,F,
Tara,CA,F,
Deborah,CA,F,
Christina,CA,F,
Elizabeth,CA,F,
Wendy,CA,F,
Pamela,CA,F,
Tina,CA,F,
Denise,CA,F,
Shelley,CA,F,
Cindy,CA,F,
Colleen,CA,F,
Dawn,CA,F,
Jacqueline,CA,F,
Sharon,CA,F,
Stacey,CA,F,
Katherine,CA,F,
Kimberly,CA,F,
Debra,CA,F,
Tamara,CA,F,
Catherine,CA,F,
Deanna,CA,F,
Donna,CA,F,
Kathleen,CA,F,
Christophe,FR,M,
Stephane,FR,M,
Laurent,FR,M,
David,FR,M,
Olivier,FR,M,
Frederic,FR,M,
Philippe,FR,M,
Eric,FR,M,
Franck,FR,M,
Thierry,FR,M,
Pascal,FR,M,
Fabrice,FR,M,
Bruno,FR,M,
Emmanuel,FR,M,
Patrick,FR,M,
Sebastien,FR,M,
Didier,FR,M,
Jean,FR,M,
Alain,FR,M,
Nicolas,FR,M,
Herve,FR,M,
Vincent,FR,M,
Patrice,FR,M,
Jerome,FR,M,
Michel,FR,M,
Dominique,FR,M,
Gilles,FR,M,
Marc,FR,M,
Christian,FR,M,
Francois,FR,M,
Sylvain,FR,M,
Pierre,FR,M,
Lionel,FR,M,
Xavier,FR,M,
Ludovic,FR,M,
Denis,FR,M,
Arnaud,FR,M,
Daniel,FR,M,
Jean-Marc,FR,M,
Jean-Francois,FR,M,
Yannick,FR,M,
Benoit,FR,M,
Jean-Luc,FR,M,
Jean-Michel,FR,M,
Richard,FR,M,
Jean-Pierre,FR,M,
Bertrand,FR,M,
Jose,FR,M,
Cyril,FR,M,
Guillaume,FR,M,
Nathalie,FR,F,
Valerie,FR,F,
Sandrine,FR,F,
Isabelle,FR,F,
Sylvie,FR,F,
Sophie,FR,F,
Laurence,FR,F,
Christelle,FR,F,
Catherine,FR,F,
Veronique,FR,F,
Christine,FR,F,
Karine,FR,F,
Corinne,FR,F,
Florence,FR,F,
Carole,FR,F,
Anne,FR,F,
Marie,FR,F,
Patricia,FR,F,
Stephanie,FR,F,
Delphine,FR,F,
Celine,FR,F,
Fabienne,FR,F,
Virginie,FR,F,
Cecile,FR,F,
Beatrice,FR,F,
Emmanuelle,FR,F,
Sabine,FR,F,
Caroline,FR,F,
Muriel,FR,F,
Myriam,FR,F,
Agnes,FR,F,
Helene,FR,F,
Magali,FR,F,
Elisabeth,FR,F,
Francoise,FR,F,
Pascale,FR,F,
Maria,FR,F,
Nadia,FR,F,
Frederique,FR,F,
Martine,FR,F,
Nadine,FR,F,
Katia,FR,F,
Sonia,FR,F,
Sandra,FR,F,
Murielle,FR,F,
Laurence,FR,F,
Dominique,FR,F,
Brigitte,FR,F,
Claire,FR,F,
Marie-Laure,FR,F,
Joshua,AU,M,
Jack,AU,M,
Thomas,AU,M,
Lachlan,AU,M,
Matthew,AU,M,
James,AU,M,
Daniel,AU,M,
Nicholas,AU,M,
Benjamin,AU,M,
William,AU,M,
Ryan,AU,M,
Jacob,AU,M,
Samuel,AU,M,
Liam,AU,M,
Luke,AU,M,
Dylan,AU,M,
Michael,AU,M,
Mitchell,AU,M,
Nathan,AU,M,
Alexander,AU,M,
Ethan,AU,M,
Jordan,AU,M,
Jake,AU,M,
Harrison,AU,M,
Andrew,AU,M,
Jayden,AU,M,
Cameron,AU,M,
Adam,AU,M,
Christopher,AU,M,
Jackson,AU,M,
Connor,AU,M,
Zachary,AU,M,
Blake,AU,M,
Kyle,AU,M,
Bailey,AU,M,
Anthony,AU,M,
Patrick,AU,M,
Joseph,AU,M,
Riley,AU,M,
Isaac,AU,M,
David,AU,M,
Joel,AU,M,
Aaron,AU,M,
Angus,AU,M,
Oliver,AU,M,
Bradley,AU,M,
Hayden,AU,M,
John,AU,M,
Cooper,AU,M,
Brandon,AU,M,
Jessica,AU,F,
Emily,AU,F,
Sarah,AU,F,
Georgia,AU,F,
Olivia,AU,F,
Emma,AU,F,
Chloe,AU,F,
Sophie,AU,F,
Hannah,AU,F,
Isabella,AU,F,
Caitlin,AU,F,
Grace,AU,F,
Samantha,AU,F,
Amy,AU,F,
Lauren,AU,F,
Jasmine,AU,F,
Zoe,AU,F,
Laura,AU,F,
Maddison,AU,F,
Rebecca,AU,F,
Brooke,AU,F,
Madison,AU,F,
Jade,AU,F,
Chelsea,AU,F,
Charlotte,AU,F,
Courtney,AU,F,
Stephanie,AU,F,
Alexandra,AU,F,
Elia,AU,F,
Natasha,AU,F,
Lucy,AU,F,
Rachel,AU,F,
Elizabeth,AU,F,
Hayley,AU,F,
Taylor,AU,F,
Kate,AU,F,
Abbey,AU,F,
Amelia,AU,F,
Anna,AU,F,
Gabrielle,AU,F,
Lily,AU,F,
Natalie,AU,F,
Ashleigh,AU,F,
Brianna,AU,F,
Claudia,AU,F,
Holly,AU,F,
Ashley,AU,F,
Bianca,AU,F,
Tayla,AU,F,
Madeline,AU,F,
Nicole,DE,F,
Stefanie,DE,F,
Sandra,DE,F,
Katrin,DE,F,
Claudia,DE,F,
Tanja,DE,F,
Anja,DE,F,
Melanie,DE,F,
Andrea,DE,F,
Daniela,DE,F,
Julia,DE,F,
Susanne,DE,F,
Kristina,DE,F,
Katja,DE,F,
Kerstin,DE,F,
Yvonne,DE,F,
Sylkie,DE,F,
Sabine,DE,F,
Sonja,DE,F,
Alexandra,DE,F,
Nadine,DE,F,
Nina,DE,F,
Simone,DE,F,
Meike,DE,F,
Kristine,DE,F,
Petra,DE,F,
Britta,DE,F,
Anna,DE,F,
Martina,DE,F,
Michaela,DE,F,
Manuela,DE,F,
Bianka,DE,F,
Sylvia,DE,F,
Katarina,DE,F,
Bettina,DE,F,
Ulrike,DE,F,
Heike,DE,F,
Anke,DE,F,
Birgitt,DE,F,
Kristiane,DE,F,
Jessika,DE,F,
Monika,DE,F,
Maren,DE,F,
Anne,DE,F,
Antje,DE,F,
Eva,DE,F,
Jana,DE,F,
Diana,DE,F,
Kornelia,DE,F,
Wibke,DE,F,
Kristian,DE,M,
Michael,DE,M,
Stefan,DE,M,
Andreas,DE,M,
Tomas,DE,M,
Markus,DE,M,
Mathias,DE,M,
Swen,DE,M,
Jan,DE,M,
Alexander,DE,M,
Oliver,DE,M,
Martin,DE,M,
Torsten,DE,M,
Frank,DE,M,
Marko,DE,M,
Mark,DE,M,
Daniel,DE,M,
Jens,DE,M,
Karsten,DE,M,
Andre,DE,M,
Dirk,DE,M,
Lars,DE,M,
Sebastian,DE,M,
Tobias,DE,M,
Sascha,DE,M,
Jorg,DE,M,
Kai,DE,M,
Bjorn,DE,M,
Florian,DE,M,
Kristof,DE,M,
Peter,DE,M,
Denis,DE,M,
Mike,DE,M,
Ralf,DE,M,
Robert,DE,M,
Rene,DE,M,
Patrik,DE,M,
Holger,DE,M,
Nils,DE,M,
Heiko,DE,M,
Mario,DE,M,
Philipp,DE,M,
Olav,DE,M,
Steffen,DE,M,
Timo,DE,M,
Timm,DE,M,
Ingo,DE,M,
Jorgen,DE,M,
Marcel,DE,M,
Volker,DE,M,
